"sl_no","item1_img_path","item2_img_path","occasion","rating","checked","userId"
"1","Amazon/images/41XMaguUYJL.jpg","Amazon/images/41AN-y8OE2L.jpg","3","1","1","2"
"2","Amazon/images/41R5MpcW4PL.jpg","Amazon/images/41n39srVFAL.jpg","3","2","1","2"
"3","Amazon/images/51V5LW16WwL.jpg","Amazon/images/41NXceFkwCL.jpg","3","1","1","2"
"4","Amazon/images/41-EGQRaJiL.jpg","Amazon/images/41yqbdgEIeL.jpg","3","2","1","2"
"5","Amazon/images/41IzDWYIhzL.jpg","Amazon/images/41WS2UdCGXL.jpg","2,3","1","1","2"
"6","Amazon/images/419cnAlA%2BWL.jpg","Amazon/images/41E63AFImSL.jpg","3","1","1","2"
"7","Amazon/images/41TRQVFmSzL.jpg","Amazon/images/41E63AFImSL.jpg","6,3","3","1","2"
"8","Amazon/images/416u%2BvdfVML.jpg","Amazon/images/41ULoeb0BRL.jpg","2","3","1","2"
"9","Amazon/images/41oMaoUIBXL.jpg","Amazon/images/41N1o69lE5L.jpg","3","1","1","2"
"10","Amazon/images/41ykXdk2HmL.jpg","Amazon/images/4162-T9AazL.jpg","2,3","1","1","2"
"11","Amazon/images/41ii%2BD6XvFL.jpg","Amazon/images/4162-T9AazL.jpg","3","1","1","2"
"12","Amazon/images/41ZHi5pz92L.jpg","Amazon/images/41MedmiQ68L.jpg","2","4","1","2"
"13","Amazon/images/41TN8vsO%2BkL.jpg","Amazon/images/417B6s8tM5L.jpg","3","1","1","2"
"14","Amazon/images/512lxVEKgXL.jpg","Amazon/images/31N0bKOOhAL.jpg","2","3","1","2"
"15","Amazon/images/41Yw2vU7zCL.jpg","Amazon/images/61QVKClY3mL.jpg","3","1","1","2"
"16","Amazon/images/41ZHi5pz92L.jpg","Amazon/images/41gi6YnWjyL.jpg","2","3","1","2"
"17","Amazon/images/41HmesL9RKL.jpg","Amazon/images/41n39srVFAL.jpg","3","2","1","2"
"18","Amazon/images/41cYXgfnlsL.jpg","Amazon/images/41gi6YnWjyL.jpg","2","3","1","2"
"19","Amazon/images/419jNH3TAtL.jpg","Amazon/images/41m0FgksT1L.jpg","3","1","1","2"
"20","Amazon/images/41aqqQtoBhL.jpg","Amazon/images/41ULoeb0BRL.jpg","2","1","1","2"
"21","Amazon/images/414vtEsji0L.jpg","Amazon/images/414MAocaynL.jpg","2","1","1","2"
"22","Amazon/images/41yQTQK1GGL.jpg","Amazon/images/41%2BQyeeT9LL.jpg","3","1","1","2"
"23","Amazon/images/41OoxAnPsoL.jpg","Amazon/images/41yqbdgEIeL.jpg","3","1","1","2"
"24","Amazon/images/41HmesL9RKL.jpg","Amazon/images/414vK-PXiuL.jpg","3","2","1","2"
"25","Amazon/images/41sejDTwd2L.jpg","Amazon/images/41tcYHChHoL.jpg","2","3","1","2"
"26","Amazon/images/41Y%2BZnsR6lL.jpg","Amazon/images/41Ca1HdjwwL.jpg","3","1","1","2"
"27","Amazon/images/41fFKb9wecL.jpg","Amazon/images/41pBNiokb-L.jpg","3","1","1","2"
"28","Amazon/images/418AQgAumPL.jpg","Amazon/images/41NXceFkwCL.jpg","3","1","1","2"
"29","Amazon/images/41HyfejhFsL.jpg","Amazon/images/41E63AFImSL.jpg","2","4","1","2"
"30","Amazon/images/41r%2BcQ%2BuwxL.jpg","Amazon/images/411RTZ4a65L.jpg","3","1","1","2"
"31","Amazon/images/41ACvqXCo1L.jpg","Amazon/images/4182ZwGiNXL.jpg","2","3","1","2"
