Unnamed: 0,o_id,item1_img_path,item2_img_path,item3_img_path,item1_rating,item2_rating,item3_rating,rating,prob,occasion,label,item1_category,item2_category,item3_category
0,11044,Amazon/images/41EWkrOK-XL.jpg,Amazon/images/41mWOI0DW0L.jpg,Amazon/images/41W-H6NowaL.jpg,2,2,1,2,,3,1,5,10,9
1,6155,Amazon/images/512ktPgQMML.jpg,Amazon/images/41Z2OsRDqCL.jpg,Amazon/images/51Kh1KPomhL.jpg,3,1,3,3,2,3,0,5,8,0
2,5118,Amazon/images/41GoRhb9jJL.jpg,Amazon/images/41Xxi3bUPvL.jpg,Amazon/images/51eQSajGQPL.jpg,3,3,2,3,,2,1,11,10,0
3,3574,Amazon/images/51jblm7ikEL.jpg,Amazon/images/41m0FgksT1L.jpg,Amazon/images/41iK0TAlnqL.jpg,3,3,3,3,,2,1,11,10,0
4,3274,Amazon/images/41Y%2BZnsR6lL.jpg,Amazon/images/41iOicF0SML.jpg,Amazon/images/41mCYnl2LkL.jpg,3,1,3,3,2,1,0,5,6,7
5,737,Amazon/images/41Ayhl919zL.jpg,Amazon/images/51X6A29hWhL.jpg,Amazon/images/318oxKCT6oL.jpg,3,4,4,4,,2,1,11,10,9
6,3430,Amazon/images/41QXbzohjWL.jpg,Amazon/images/4162-T9AazL.jpg,Amazon/images/41vxN2IedLL.jpg,4,1,4,4,2,1,0,5,8,7
7,4894,Amazon/images/41OoxAnPsoL.jpg,Amazon/images/419gCnFEHvL.jpg,Amazon/images/411swIlZC-L.jpg,4,3,3,3,,3,1,5,10,7
8,1822,Amazon/images/419cnAlA%2BWL.jpg,Amazon/images/41gWT1dZDhL.jpg,Amazon/images/410tNncxv2L.jpg,3,1,3,3,2,3,0,5,8,7
9,455,Amazon/images/41CJ2MOswaL.jpg,Amazon/images/417B6s8tM5L.jpg,Amazon/images/41HVGKtQiUL.jpg,2,3,2,3,,2,1,11,10,7
10,4947,Amazon/images/51ImTCKzmfL.jpg,Amazon/images/41NXceFkwCL.jpg,Amazon/images/51-N2jW6zwL.jpg,4,3,3,4,,2,1,11,8,9
11,1388,Amazon/images/41F4FRiozaL.jpg,Amazon/images/411tFNX%2B51L.jpg,Amazon/images/51aIg3tTYPL.jpg,4,4,2,4,3,3,0,5,10,0
12,1286,Amazon/images/41SrGTlrFfL.jpg,Amazon/images/4182ZwGiNXL.jpg,Amazon/images/31mjZTKNE3L.jpg,3,4,3,4,3,1,0,5,10,0
13,5594,Amazon/images/41QhUr4AqSL.jpg,Amazon/images/313ahyptqUL.jpg,Amazon/images/41W-H6NowaL.jpg,2,2,2,3,"1,2,3","1,2,3,5",0,5,8,9
14,4497,Amazon/images/41vvlF920zL.jpg,Amazon/images/411tFNX%2B51L.jpg,Amazon/images/419UKHN%2BpfL.jpg,3,3,3,3,,2,1,11,10,2
15,26,Amazon/images/41r%2BcQ%2BuwxL.jpg,Amazon/images/414vK-PXiuL.jpg,Amazon/images/51ZLp4QFsOL.jpg,4,4,1,4,3,3,0,5,10,9
16,5629,Amazon/images/41uPM1in6DL.jpg,Amazon/images/41m0FgksT1L.jpg,Amazon/images/510-aKEE78L.jpg,3,3,3,3,,3,1,5,10,0
17,1482,Amazon/images/41fFKb9wecL.jpg,Amazon/images/31JDkZYzJuL.jpg,Amazon/images/41O7s5LJC9L.jpg,4,3,4,4,,"3,4",1,5,10,9
18,5221,Amazon/images/41wlYzgOm1L.jpg,Amazon/images/41Cr%2BAECjyL.jpg,Amazon/images/411g1WCOsaL.jpg,4,3,4,4,,3,1,5,10,7
19,4726,Amazon/images/51V5LW16WwL.jpg,Amazon/images/41Cr%2BAECjyL.jpg,Amazon/images/416Bs7MNZQL.jpg,2,2,2,2,3,6,0,5,10,0
20,3191,Amazon/images/419cnAlA%2BWL.jpg,Amazon/images/31gN%2BxtNdoL.jpg,Amazon/images/41N35oTPSrL.jpg,2,2,1,2,3,6,0,5,10,7
21,3893,Amazon/images/41Bb2DS7phL.jpg,Amazon/images/41iOicF0SML.jpg,Amazon/images/416vDjRxcUL.jpg,3,1,4,3,2,3,0,5,6,2
22,5364,Amazon/images/41IzDWYIhzL.jpg,Amazon/images/41WS2UdCGXL.jpg,Amazon/images/51lxHSNDQzL.jpg,3,1,3,3,"2,3",3,0,5,8,9
23,1923,Amazon/images/51uLakNNpqL.jpg,Amazon/images/41PYIM32NHL.jpg,Amazon/images/41oSoglqPTL.jpg,4,4,1,4,3,3,0,5,10,7
24,4615,Amazon/images/41sCDcLwVlL.jpg,Amazon/images/41jK7-wnymL.jpg,Amazon/images/41g1dEKU53L.jpg,4,5,5,5,,2,1,4,10,2
25,3209,Amazon/images/51Qz06JbflL.jpg,Amazon/images/4162-T9AazL.jpg,Amazon/images/31BbTT%2BgDtL.jpg,3,3,1,3,3,2,0,11,8,7
26,2268,Amazon/images/41R5MpcW4PL.jpg,Amazon/images/41rcPSO4aNL.jpg,Amazon/images/41PKmc3BpoL.jpg,4,1,4,4,2,3,0,5,8,2
27,3613,Amazon/images/51swbvYcZsL.jpg,Amazon/images/41kr4bjN6tL.jpg,Amazon/images/41ibo5gHtDL.jpg,3,2,1,2,3,2,0,3,8,7
28,979,Amazon/images/41kCSfRaJRL.jpg,Amazon/images/41FQKH53N%2BL.jpg,Amazon/images/41NRS6-3bVL.jpg,3,3,1,3,3,6,0,5,10,0
29,4831,Amazon/images/410nNFpo9xL.jpg,Amazon/images/411tFNX%2B51L.jpg,Amazon/images/41-Cd6YJRUL.jpg,2,3,3,3,1,2,0,5,10,7
30,2751,Amazon/images/410nNFpo9xL.jpg,Amazon/images/41m0FgksT1L.jpg,Amazon/images/41AXnd8oczL.jpg,3,1,3,3,2,6,0,5,10,7
31,2278,Amazon/images/51F-2Cc3%2BGL.jpg,Amazon/images/41Xxi3bUPvL.jpg,Amazon/images/411Ft6CSUOL.jpg,2,2,3,2,,3,1,5,10,7
32,4448,Amazon/images/51aEMalmZVL.jpg,Amazon/images/41SlSsQcv2L.jpg,Amazon/images/41zsjIloWyL.jpg,4,4,1,4,3,2,0,4,1,0
33,3756,Amazon/images/41rI0A5Si7L.jpg,Amazon/images/415uEMF9eZL.jpg,Amazon/images/41b1IVPonIL.jpg,3,4,4,4,,2,1,4,10,9
34,1607,Amazon/images/41k9fcG1qQL.jpg,Amazon/images/41Ww5lQOsrL.jpg,Amazon/images/41bNOGuqcHL.jpg,3,4,4,4,,2,1,4,10,7
35,1011,Amazon/images/41yQTQK1GGL.jpg,Amazon/images/41%2BQyeeT9LL.jpg,Amazon/images/41R7U030E9L.jpg,1,3,3,3,1,3,0,5,10,0
