type,asin,item_url,img_url,color,price,list_price,title,category
1,B07BTQ79PY,https://www.amazon.in/Lamara-Casual-Canvas-Sneaker-Shoes/dp/B07BTQ79PY/ref=sr_1_1712?s=shoes&ie=UTF8&qid=1530341798&sr=1-1712,https://images-eu.ssl-images-amazon.com/images/I/51iAR7a08ML.jpg,Red,449,449,Lamara Men's Navy Blue Casual Canvas Sneaker Shoes,fw
4,B071KPD9R1,https://www.amazon.in/Fashion-Stylish-Leather-Loafers-Moccasins/dp/B071KPD9R1/ref=sr_1_12707?s=shoes&ie=UTF8&qid=1530342155&sr=1-12707,https://images-eu.ssl-images-amazon.com/images/I/4132wDAqf3L.jpg,Beige,1399,1399,Latest Fashion Stylish Assail Leather Loafers & Moccasins Shoes Out Door Casual Foot Wear For Boy/Boys/Boy's/Men...,fw
2,B07693DWMT,https://www.amazon.in/Youths-Way-Black-Sneaker-girls/dp/B07693DWMT/ref=sr_1_9905?s=shoes&ie=UTF8&qid=1530342062&sr=1-9905,https://images-eu.ssl-images-amazon.com/images/I/41IOVc970DL.jpg,Black,498,999,Youth's Way Black Net Sneaker For Boy's and girls,fw
1,B0792XHYGZ,https://www.amazon.in/Duke-Mens-Brown-Casual-Shoes/dp/B0792XHYGZ/ref=sr_1_7318?s=shoes&ie=UTF8&qid=1530341976&sr=1-7318,https://images-eu.ssl-images-amazon.com/images/I/51fGX8swMuL.jpg,Brown,2995,2995,'Duke Mens Brown Casual Shoes,fw
1,B00NPZLV1Y,https://www.amazon.in/Ruosh-Leather-Casual-Loafers-Mocassins/dp/B00NPZLV1Y/ref=sr_1_2205?s=shoes&ie=UTF8&qid=1530341813&sr=1-2205,https://images-eu.ssl-images-amazon.com/images/I/41I4RZzHd9L.jpg,Brown,2250,5490,Ruosh Men's Leather Casual Loafers and Mocassins,fw
2,B01M1HCTME,https://www.amazon.in/Action-Shoes-Mens-Coffee-Sneakers/dp/B01M1HCTME/ref=sr_1_15512?s=shoes&ie=UTF8&qid=1530342251&sr=1-15512,https://images-eu.ssl-images-amazon.com/images/I/41Z9D0ybL4L.jpg,Coffee,2499,2499,Action Shoes Men's Sneakers,fw
1,B072QV9MQQ,https://www.amazon.in/Wild-Fashion-Synthetic-Leather-Casual/dp/B072QV9MQQ/ref=sr_1_357?s=shoes&ie=UTF8&qid=1530341758&sr=1-357,https://images-eu.ssl-images-amazon.com/images/I/41hZ9LFMcbL.jpg,Black,390,698,'Wild Fashion Mens Black Synthetic Leather Casual Shoes For Men,fw
4,B075GJ97NN,https://www.amazon.in/brandvilla-loafer0151-Mens-Loafers/dp/B075GJ97NN/ref=sr_1_6025?s=shoes&ie=UTF8&qid=1530341934&sr=1-6025,https://images-eu.ssl-images-amazon.com/images/I/415jlWRxhsL.jpg,Black,1140,2999,brandvilla Men's Loafers,fw
1,B019XS9BEU,https://www.amazon.in/Leather-Comfort-Sandals-Floaters-Bussiness/dp/B019XS9BEU/ref=sr_1_10597?s=shoes&ie=UTF8&qid=1530342084&sr=1-10597,https://images-eu.ssl-images-amazon.com/images/I/51XWyfUehSL.jpg,Black,1495,1495,'Copper Shoes Style Black Leather Comfort Mens  Boys Sandals and Floaters for Casual Wear   Bussiness Wear,fw
3,B075WWL17L,https://www.amazon.in/Leewon-Mens-LFR-Loafers-Moccasins/dp/B075WWL17L/ref=sr_1_14986?s=shoes&ie=UTF8&qid=1530342232&sr=1-14986,https://images-eu.ssl-images-amazon.com/images/I/41r9hAh%2B6sL.jpg,Multicolor,499,499,Leewon Men's LFR Loafers & Moccasins,fw
