"tw_img_url","bw_img_url","tw_price","bw_price","occasion","rating"
"519AGo-LGRL._SX342_.jpg","31aSfxlj6ML._SX342_.jpg","21.99","22.99","2","4"
"519AGo-LGRL._SX342_.jpg","31IzqjZOV8L._SX342_.jpg","21.99","23.99","2","3"
"519AGo-LGRL._SX342_.jpg","31REYAPgn5L._SY445_.jpg","21.99","25.99","2","4"
"31vigZoHEdL._SY300_.jpg","21-x5AyigZL.jpg","18.96","19.88","2","3"
"310kL4DOu3L.jpg","21U1vQVmpFL.jpg","25.00","28.00","2","2"
"413cw7aN6uL._SX342_.jpg","41ksBSqrdxL._SY445_.jpg","19.95","22.99","2","3"
"41hvxhQml-L._SY445_.jpg","31hO%2BQQTHoL._SX342_.jpg","12.75","18.95","5","3"
"51ELTEMC9dL._SX342_.jpg","41r8I4YBKgL._SX342_.jpg","29.99","34.99","6","3"
"41BaNZtjBwL._SY445_.jpg","318vshr0FCL._SX342_.jpg","29.99","44.99","1","3"
"41BaNZtjBwL._SY445_.jpg","318vshr0FCL._SX342_.jpg","29.99","44.99","1","3"
"41N56u6xwbL._SY445_.jpg","31hO%2BQQTHoL._SX342_.jpg","17.95","18.95","5","3"
"41U3pM8QbGL._SY445_.jpg","31hO%2BQQTHoL._SX342_.jpg","17.95","18.95","5","3"
"41p0QDX9ySL._SY445_.jpg","31hO%2BQQTHoL._SX342_.jpg","15.95","18.95","5","3"
"41X6g%2BnsyIL._SY445_.jpg","31hO%2BQQTHoL._SX342_.jpg","16.95","18.95","2,5","3"
"41uhMogaMGL._SY445_.jpg","31hO%2BQQTHoL._SX342_.jpg","15.95","18.95","2","3"
"41yN0uieMRL._SX342_.jpg","41grJffnCNL._SX342_.jpg","27.99","29.99","1","4"
"41yN0uieMRL._SX342_.jpg","41f7krwWWYL._SX342_.jpg","27.99","29.99","1","5"
"41yN0uieMRL._SX342_.jpg","41rMmFAcwhL._SX342_.jpg","27.99","39.99","1","4"
"41yN0uieMRL._SX342_.jpg","41rMmFAcwhL._SX342_.jpg","27.99","39.99","1","4"
"41yN0uieMRL._SX342_.jpg","41grJffnCNL._SX342_.jpg","27.99","29.99","1,6","4"
"41yN0uieMRL._SX342_.jpg","41grJffnCNL._SX342_.jpg","27.99","29.99","1","4"
"41yN0uieMRL._SX342_.jpg","41grJffnCNL._SX342_.jpg","27.99","29.99","1,6","3"
"31RUsBHNSPL._SY445_.jpg","417Vd9y8m9L._SX342_.jpg","29.98","44.99","1","3"
"41BT9ZIQV9L._SY300_.jpg","31zrNq4xMRL._SX342_.jpg","55.00","24.99","2","4"
"31h4UeV%2BqpL._SX342_.jpg","41K46EayQ3L._SY445_.jpg","8.99","7.95","2","3"
"31h4UeV%2BqpL._SX342_.jpg","41K46EayQ3L._SY445_.jpg","8.99","7.95","2","1"
"51O6Hh%2BvluL._SX342_.jpg","41w3dYozo0L._SY445_.jpg","19.98","21.99","1","4"
"51O6Hh%2BvluL._SX342_.jpg","31BqZ4Mn%2BDL._SY445_.jpg","19.98","22.99","1","3"
"51O6Hh%2BvluL._SX342_.jpg","41w3dYozo0L._SY445_.jpg","19.98","21.99","1","3"
"415au6uUmnL._SX342_.jpg","41w3dYozo0L._SY445_.jpg","19.98","21.99","1","4"
"415au6uUmnL._SX342_.jpg","31BqZ4Mn%2BDL._SY445_.jpg","19.98","22.99","1","3"
"51O6Hh%2BvluL._SX342_.jpg","41w3dYozo0L._SY445_.jpg","19.98","21.99","1","4"
"415au6uUmnL._SX342_.jpg","31BqZ4Mn%2BDL._SY445_.jpg","19.98","22.99","6","3"
"414-zjc3heL._SY445_.jpg","41GAGdN2mjL._SX342_.jpg","14.68","16.99","2","4"
"414-zjc3heL._SY445_.jpg","51yyTbAg78L._SX342_.jpg","14.68","6.99","2","1"
"41RLdf-frKL._SY445_.jpg","41MZOEOvQXL._SX342_.jpg","36.95","35.96","2","2"
"41RLdf-frKL._SY445_.jpg","51Y28r5Gt6L._SX342_.jpg","36.95","35.96","2","2"
"51y-Edg5wnL._SX342_.jpg","31JT-xzzzEL._SX342_.jpg","20.98","18.99","5","4"
"418n52o6JlL._SY445_.jpg","41grJffnCNL._SX342_.jpg","26.99","29.99","1","5"
"418n52o6JlL._SY445_.jpg","31bh2wSh7GL._SX342_.jpg","26.99","34.99","1","3"
"418n52o6JlL._SY445_.jpg","31j6ief3yKL._SX342_.jpg","26.99","24.99","1","2"
"418n52o6JlL._SY445_.jpg","31OCmI0QSGL._SX342_.jpg","26.99","29.99","1","3"
"418n52o6JlL._SY445_.jpg","31j6ief3yKL._SX342_.jpg","26.99","24.99","1","2"
"418n52o6JlL._SY445_.jpg","31bh2wSh7GL._SX342_.jpg","26.99","34.99","1","4"
"418n52o6JlL._SY445_.jpg","31j6ief3yKL._SX342_.jpg","26.99","24.99","1","4"
"418n52o6JlL._SY445_.jpg","31OCmI0QSGL._SX342_.jpg","26.99","29.99","1,6","3"
"418n52o6JlL._SY445_.jpg","41grJffnCNL._SX342_.jpg","26.99","29.99","1","4"
"41yN0uieMRL._SX342_.jpg","41grJffnCNL._SX342_.jpg","27.99","29.99","1","4"
"41yN0uieMRL._SX342_.jpg","41rMmFAcwhL._SX342_.jpg","27.99","39.99","1","3"
"418n52o6JlL._SY445_.jpg","41grJffnCNL._SX342_.jpg","26.99","29.99","1","4"
"418n52o6JlL._SY445_.jpg","31bh2wSh7GL._SX342_.jpg","26.99","34.99","1","4"
"418n52o6JlL._SY445_.jpg","31j6ief3yKL._SX342_.jpg","26.99","24.99","1","4"
"418n52o6JlL._SY445_.jpg","41grJffnCNL._SX342_.jpg","26.99","29.99","1","4"
"418n52o6JlL._SY445_.jpg","31bh2wSh7GL._SX342_.jpg","26.99","34.99","1","4"
"418n52o6JlL._SY445_.jpg","31j6ief3yKL._SX342_.jpg","26.99","24.99","1","3"
"418n52o6JlL._SY445_.jpg","31OCmI0QSGL._SX342_.jpg","26.99","29.99","1","4"
"418n52o6JlL._SY445_.jpg","31bh2wSh7GL._SX342_.jpg","26.99","34.99","1","4"
"418n52o6JlL._SY445_.jpg","31OCmI0QSGL._SX342_.jpg","26.99","29.99","6","3"
"418n52o6JlL._SY445_.jpg","41grJffnCNL._SX342_.jpg","26.99","29.99","1","4"
"418n52o6JlL._SY445_.jpg","31j6ief3yKL._SX342_.jpg","26.99","24.99","1","4"
"418n52o6JlL._SY445_.jpg","41grJffnCNL._SX342_.jpg","26.99","29.99","1","4"
"418n52o6JlL._SY445_.jpg","31j6ief3yKL._SX342_.jpg","26.99","24.99","1","3"
"418n52o6JlL._SY445_.jpg","31j6ief3yKL._SX342_.jpg","26.99","24.99","1,6","5"
"41qs0eoi9nL._SX342_.jpg","41WS-6o7mXL._SX342_.jpg","12.99","11.99","2","3"
"41c-TlujgAL._SX342_.jpg","31LYwkJI26L._SX342_.jpg","7.99","18.99","2","3"
"41c-TlujgAL._SX342_.jpg","31nQUvz75JL._SX342_.jpg","7.99","19.99","2","3"
