"tw_img_url","bw_img_url","tw_price","bw_price","occasion","rating"
"108042640.jpg","103135174.jpg","10.00","235.00","3","3"
"16045248.jpg","142491416.jpg","18.00","2295.00","4","4"
"178357420.jpg","180944840.jpg","16.00","295.00","4","5"
"174641775.jpg","176535125.jpg","11.00","30.00","3","3"
"149226077.jpg","179999049.jpg","22.00","50.00","3","4"
"152300628.jpg","154417885.jpg","8.19","88.00","2","3"
"134491160.jpg","130669591.jpg","12.00","86.00","4","5"
"126546552.jpg","90190578.jpg","9.99","31.00","2,3","3"
"178870747.jpg","176999251.jpg","11.00","9.21","4","5"
"141000804.jpg","138625636.jpg","8.90","14.00","3","4"
"170369567.jpg","169255809.jpg","150.00","210.00","4","5"
"87498303.jpg","90784151.jpg","14.00","31.00","2","3"
"195372295.jpg","194873347.jpg","42.00","65.00","2","4"
"164130529.jpg","161137057.jpg","239.00","25.00","4","5"
"135984472.jpg","172528428.jpg","14.00","29.00","4","4"
"146839763.jpg","177600244.jpg","34.00","29.00","4","5"
"107797078.jpg","109239688.jpg","92.00","54.00","3","3"
"115932210.jpg","121572409.jpg","14.00","21.00","4","5"
"126847733.jpg","45685520.jpg","30.00","255.00","3","3"
"169964833.jpg","164708044.jpg","7.45","1595.00","3,4","5"
"90781798.jpg","56059925.jpg","42.00","19.00","4","4"
"145023030.jpg","147864539.jpg","145.00","318.00","6,3","4"
"140978258.jpg","142719244.jpg","12.00","233.00","4","5"
"192902990.jpg","194570649.jpg","52.00","15.00","4","5"
"167968090.jpg","191534807.jpg","11.00","200.00","2","4"
"170430275.jpg","191819376.jpg","18.00","25.00","4","4"
"99752376.jpg","147964671.jpg","542.00","12.00","4","5"
"171692610.jpg","189747472.jpg","125.00","404.00","4","4"
"133755352.jpg","127995231.jpg","125.00","1790.00","4","5"
"115856629.jpg","135717057.jpg","9.93","19.00","4","4"
"189016220.jpg","188211984.jpg","298.00","375.00","4","3"
"180351203.jpg","177309131.jpg","10.00","250.00","2,3","4"
"141396122.jpg","96565840.jpg","395.00","36.00","1,6","5"
"169962099.jpg","171336535.jpg","25.00","27.00","2,3","4"
"200578619.jpg","200637383.jpg","34.00","25.00","3","3"
"176339353.jpg","174489000.jpg","23.00","24.00","3","4"
"157689620.jpg","152127517.jpg","21.00","22.00","2,3","4"
"117427809.jpg","116417470.jpg","9.21","9.95","4","5"
"191370809.jpg","186613502.jpg","99.00","40.00","2","3"
"179268589.jpg","181800572.jpg","31.00","239.00","3","3"
"85414243.jpg","33796319.jpg","22.00","17.00","3","4"
"156334189.jpg","118281964.jpg","26.00","19.00","4","4"
"178038982.jpg","172142912.jpg","38.00","425.00","4","5"
"191513881.jpg","191513884.jpg","1765.00","825.00","4","5"
"182659982.jpg","113963319.jpg","185.00","40.00","3","4"
"181158013.jpg","181375175.jpg","575.00","43.00","4","4"
"163717220.jpg","162550427.jpg","15.00","14.00","4","5"
"178989761.jpg","119232206.jpg","31.00","27.00","3","3"
"193020333.jpg","187212738.jpg","14.00","23.00","4","5"
"130131733.jpg","139429173.jpg","19.00","80.00","2,3","4"
"176029238.jpg","176029255.jpg","1700.00","1400.00","4","3"
"127981978.jpg","127919219.jpg","32.00","1129.00","2,3","4"
"195755361.jpg","200073288.jpg","18.00","29.00","4","4"
"194069025.jpg","191500499.jpg","340.00","115.00","3","4"
"199767766.jpg","199365295.jpg","61.00","80.00","2","3"
"156591514.jpg","63740193.jpg","329.00","160.00","2","1"
"158982642.jpg","63740193.jpg","329.00","160.00","2","1"
"87688971.jpg","150210535.jpg","22.00","250.00","2,3","3"
"190141025.jpg","86263750.jpg","22.00","308.00","3","3"
"138952323.jpg","156090024.jpg","15.00","90.00","3","3"
"108432398.jpg","103400085.jpg","19.00","46.00","4","5"
"199480246.jpg","196185503.jpg","15.00","38.00","3","4"
"168303961.jpg","186613502.jpg","80.00","40.00","1,6","5"
"122685692.jpg","175892229.jpg","14.00","203.00","2,3","4"
"102543925.jpg","114525715.jpg","10.00","650.00","4","5"
"185174324.jpg","182327689.jpg","7.99","60.00","3","5"
"173038613.jpg","165508953.jpg","147.00","460.00","4","5"
"183843110.jpg","197552252.jpg","109.00","20.00","2,5","5"
"192436915.jpg","190822920.jpg","6.99","14.00","4","5"
"196229001.jpg","183856418.jpg","185.00","70.00","4","4"
"153478450.jpg","188607234.jpg","24.00","225.00","3","3"
"120982258.jpg","119440985.jpg","19.00","620.00","2,3","4"
"196425447.jpg","184401692.jpg","350.00","1395.00","4","4"
"93858931.jpg","118455363.jpg","12.00","70.00","2","4"
"145401110.jpg","179514960.jpg","44.00","90.00","3,4","4"
"195207514.jpg","183156633.jpg","28.00","113.00","3,4","5"
"109436847.jpg","111501566.jpg","8.38","30.00","2","3"
"190376139.jpg","189144234.jpg","19.00","2475.00","3,4","4"
"116947129.jpg","128869353.jpg","17.00","170.00","2,3","3"
"173296823.jpg","95409378.jpg","165.00","25.00","2,3","2"
"96674145.jpg","98843019.jpg","24.00","17.00","4","3"
"176850008.jpg","159389753.jpg","30.00","210.00","3,4","4"
"132537404.jpg","133899750.jpg","11.00","24.00","3","4"
"105270089.jpg","84702398.jpg","6.20","15.00","2,3","5"
"105270089.jpg","100473825.jpg","6.20","1290.00","3,4","4"
"105270089.jpg","89379572.jpg","6.20","805.00","2","5"
"112451298.jpg","112586401.jpg","19.00","45.00","3,4","3"
"113629395.jpg","112586401.jpg","600.00","45.00","4","4"
"183748097.jpg","177501194.jpg","25.00","12.00","4","3"
"98779907.jpg","139922987.jpg","20.00","23.00","4","5"
"173142115.jpg","172999160.jpg","249.00","27.00","4","5"
"86548844.jpg","93384068.jpg","27.00","42.00","4","5"
"110180487.jpg","111590445.jpg","27.00","71.00","3","4"
"118106062.jpg","113193765.jpg","17.00","27.00","2","3"
"174958652.jpg","134001976.jpg","910.00","469.00","4","3"
"102967207.jpg","104122732.jpg","490.00","805.00","4","5"
"163514678.jpg","160208275.jpg","24.00","60.00","2,3","3"
"188061383.jpg","146624375.jpg","63.00","9.09","6,4","5"
"178331286.jpg","178333427.jpg","87.00","57.00","3","3"
"166667243.jpg","173391494.jpg","145.00","465.00","2,3","5"
"184358566.jpg","166184798.jpg","185.00","98.00","3","4"
"181986742.jpg","194985896.jpg","180.00","310.00","3","4"
"19870123.jpg","188977857.jpg","30.00","248.00","3","4"
"194643388.jpg","194642892.jpg","373.00","1575.00","4","4"
"83438717.jpg","135330226.jpg","9.93","343.00","3,4","3"
"195479325.jpg","194124046.jpg","20.00","40.00","3,4","4"
"171576781.jpg","181785316.jpg","325.00","1325.00","4","5"
"139241797.jpg","149180075.jpg","620.00","22.00","1,6","5"
"200026778.jpg","200017400.jpg","16.00","21.00","4","5"
"162356274.jpg","190875340.jpg","3.72","69.00","4","5"
"171282319.jpg","170435905.jpg","15.00","70.00","3","3"
"170430275.jpg","141557360.jpg","18.00","9.97","4","4"
"137472056.jpg","181569082.jpg","13.00","13.00","3,4","5"
"112458263.jpg","86502102.jpg","9.93","25.00","4","5"
"112458263.jpg","112458253.jpg","9.93","7.45","4","4"
"73770655.jpg","110116473.jpg","16.00","12.00","4","4"
"116555315.jpg","116746213.jpg","15.00","27.00","4","4"
"113103132.jpg","130816676.jpg","11.00","12.00","4","5"
"164631071.jpg","171072778.jpg","24.00","59.00","3","4"
"177403164.jpg","195353860.jpg","200.00","42.00","3,4","5"
"163518476.jpg","166986737.jpg","25.00","105.00","3","4"
"78479976.jpg","112584251.jpg","16.00","12.00","2","4"
"119663500.jpg","120264416.jpg","23.00","10.00","2","5"
"119663500.jpg","113164055.jpg","23.00","15.00","2","5"
"154513479.jpg","122035993.jpg","170.00","26.00","4","5"
"156526791.jpg","61063249.jpg","17.00","185.00","4","4"
"184641123.jpg","183713664.jpg","12.00","42.00","2,3","3"
"184640761.jpg","183713664.jpg","13.00","42.00","4","3"
"102495107.jpg","97085206.jpg","118.00","79.00","4","3"
"100470130.jpg","97085206.jpg","15.00","79.00","4","3"
"128430279.jpg","139557584.jpg","9.90","37.00","4","3"
"142500127.jpg","139557584.jpg","96.00","37.00","3,4","5"
"153349406.jpg","191791861.jpg","27.00","65.00","3","3"
"184025283.jpg","171925455.jpg","300.00","67.00","3","4"
"153973830.jpg","155779061.jpg","41.00","1400.00","4","3"
"171292618.jpg","166512745.jpg","20.00","25.00","3","4"
"135764641.jpg","146410377.jpg","30.00","22.00","3,4","3"
"195311882.jpg","199751160.jpg","380.00","470.00","2","3"
"160196925.jpg","160121541.jpg","26.00","175.00","3,4","5"
"52107769.jpg","101010543.jpg","85.00","56.00","2,3","4"
"195480718.jpg","192143777.jpg","12.00","485.00","4","5"
"195480739.jpg","192143777.jpg","12.00","485.00","4","4"
"165796469.jpg","166184725.jpg","132.00","88.00","3,4","4"
"139986035.jpg","143056095.jpg","9.99","190.00","2,3","3"
"183088627.jpg","187945634.jpg","9.99","28.00","4","5"
"177443642.jpg","166538329.jpg","79.00","175.00","4","5"
"94796378.jpg","93955143.jpg","12.00","1029.00","4","5"
"95326614.jpg","93955143.jpg","15.00","1029.00","4","5"
"140965578.jpg","145405307.jpg","20.00","37.00","3,4","3"
"194729724.jpg","195871460.jpg","1140.00","57.00","2,3","3"
"119939618.jpg","146193858.jpg","25.00","53.00","2","3"
"142426946.jpg","146193858.jpg","28.00","53.00","3","2"
"41882893.jpg","146193858.jpg","18.00","53.00","3","3"
"191199618.jpg","146193858.jpg","13.00","53.00","3","3"
"168150089.jpg","146193858.jpg","6.19","53.00","3","3"
"177403164.jpg","180391173.jpg","200.00","689.00","4","5"
"191592149.jpg","178912980.jpg","780.00","195.00","4","3"
"114568915.jpg","127282705.jpg","128.00","1060.00","4","3"
"140286257.jpg","156214147.jpg","9.93","23.00","2","5"
"193479558.jpg","183725260.jpg","9.00","150.00","2,3,4","5"
"147236270.jpg","159469221.jpg","210.00","770.00","4","4"
"179243498.jpg","167524053.jpg","13.00","465.00","4","4"
"175659691.jpg","163583482.jpg","28.00","60.00","2,3","4"
"135258169.jpg","126320439.jpg","25.00","232.00","2,5","5"
"122322724.jpg","139987797.jpg","6.20","13.00","2,3","4"
"144126897.jpg","154940272.jpg","13.00","52.00","4","5"
"152741585.jpg","178917975.jpg","9.93","275.00","4","5"
"161562183.jpg","182311450.jpg","303.00","135.00","2","1"
"177759849.jpg","182311450.jpg","2.99","135.00","2","4"
"181446204.jpg","180364458.jpg","16.00","49.00","4","5"
"143448783.jpg","193559983.jpg","80.00","110.00","3","3"
"99583638.jpg","117563434.jpg","9.93","19.00","2","3"
"171879207.jpg","172593771.jpg","13.00","42.00","4","5"
"147235175.jpg","146900848.jpg","10.00","1290.00","4","5"
"147387304.jpg","153316269.jpg","185.00","47.00","3","4"
"193885896.jpg","188864657.jpg","345.00","205.00","2","1"
"107797089.jpg","137943293.jpg","118.00","14.00","1,6","5"
"177591862.jpg","146150861.jpg","190.00","490.00","4","5"
"179236950.jpg","159405274.jpg","27.00","200.00","2","4"
"164937953.jpg","163591814.jpg","585.00","2105.00","4","5"
"189864099.jpg","192192528.jpg","20.00","20.00","3,4","3"
"156895376.jpg","146628319.jpg","897.00","333.00","4","5"
"194130191.jpg","147541742.jpg","61.00","180.00","3","3"
"193409160.jpg","195621004.jpg","280.00","64.00","4","5"
"107793048.jpg","105486865.jpg","250.00","28.00","2,3,4","3"
"181303711.jpg","154960331.jpg","16.00","25.00","4","4"
"189823017.jpg","178800555.jpg","381.00","250.00","4","5"
