tw,bw,price_tw,price_bw,occasion
41EWkrOK-XL.jpg,41mWOI0DW0L.jpg,629,958,3
41GoRhb9jJL.jpg,41Xxi3bUPvL.jpg,199,758,2
51jblm7ikEL.jpg,41m0FgksT1L.jpg,479,995,2
41Ayhl919zL.jpg,51X6A29hWhL.jpg,399,804,2
41OoxAnPsoL.jpg,419gCnFEHvL.jpg,499,559,3
41CJ2MOswaL.jpg,417B6s8tM5L.jpg,249,974.29,2
51ImTCKzmfL.jpg,41NXceFkwCL.jpg,299,539,2
41vvlF920zL.jpg,411tFNX%2B51L.jpg,349,925,2
41uPM1in6DL.jpg,41m0FgksT1L.jpg,449,995,3
41fFKb9wecL.jpg,31JDkZYzJuL.jpg,349,845,"3,4"
41wlYzgOm1L.jpg,41Cr%2BAECjyL.jpg,359,804,3
41sCDcLwVlL.jpg,41jK7-wnymL.jpg,259,649,2
51F-2Cc3%2BGL.jpg,41Xxi3bUPvL.jpg,499,758,3
41rI0A5Si7L.jpg,415uEMF9eZL.jpg,449,804,2
41k9fcG1qQL.jpg,41Ww5lQOsrL.jpg,419,719,2
41tciFNVN1L.jpg,414c0cB41rL.jpg,499,749,"2,3"
41%2Bz5Rgn1XL.jpg,41%2BQyeeT9LL.jpg,499,899,3
41Bb2DS7phL.jpg,41Xxi3bUPvL.jpg,404,758,6
41csPaDG7iL.jpg,41B9iX4wc6L.jpg,449,995,"2,4"
41Y%2BZnsR6lL.jpg,413YvtgV2FL.jpg,314,800,6
41NIMky08tL.jpg,41V5aOwwlGL.jpg,399,879,3
41lRFMl7qdL.jpg,41FQKH53N%2BL.jpg,383,758,2
41L3GZgwRSL.jpg,4162-T9AazL.jpg,384,999,2
41J4e5deAbL.jpg,411tFNX%2B51L.jpg,449,925,3
414NbR-%2BjEL.jpg,41PYIM32NHL.jpg,419,799,2
41AnlCjsHdL.jpg,41Xxi3bUPvL.jpg,329,758,3
41QXbzohjWL.jpg,414vK-PXiuL.jpg,368,749,3
41RIt4smw0L.jpg,41NXceFkwCL.jpg,299,539,2
41mfrixrXcL.jpg,415uEMF9eZL.jpg,499,804,6
41wlYzgOm1L.jpg,41Cr%2BAECjyL.jpg,359,804,3
41kdRfabfVL.jpg,41AN-y8OE2L.jpg,399,999,2
41IzDWYIhzL.jpg,31N0bKOOhAL.jpg,499,899,6
41OltKFeT0L.jpg,41NzHlC46kL.jpg,449,719,3
41x%2B1fgsdOL.jpg,31gN%2BxtNdoL.jpg,494,799,2
41QXbzohjWL.jpg,41yqbdgEIeL.jpg,368,999,3
51qFDDr1IGL.jpg,41WS2UdCGXL.jpg,439,519,2
41ACvqXCo1L.jpg,411tFNX%2B51L.jpg,419,925,2
41hXmJSHQwL.jpg,41MedmiQ68L.jpg,239,749,2
41cgUY-l5%2BL.jpg,41E63AFImSL.jpg,349,999,2
41XMaguUYJL.jpg,41AN-y8OE2L.jpg,449,999,3
41cYXgfnlsL.jpg,41gi6YnWjyL.jpg,349,599,2
51aEMalmZVL.jpg,41Ca1HdjwwL.jpg,450,999,2
41QXvrRAR0L.jpg,411tFNX%2B51L.jpg,449,925,3
51H8U9bkriL.jpg,41Ww5lQOsrL.jpg,279,719,2
41OltKFeT0L.jpg,41TP120YxbL.jpg,449,539,3
412aqfSS1pL.jpg,41N1o69lE5L.jpg,399,719,2
41TN8vsO%2BkL.jpg,41qiQqqLDUL.jpg,499,925,3
41IJ9yo-Q2L.jpg,41GWdq%2BOpyL.jpg,390,999.29,2
413ZMQhB9oL.jpg,41V5aOwwlGL.jpg,299,879,6
41mgL6RzizL.jpg,419cD9L3QiL.jpg,419,845,6
51OmYz6fhtL.jpg,41tcYHChHoL.jpg,349,798,2
51Q91XvGgBL.jpg,51oSaj2BUCL.jpg,481,635.75,3
518s3bv9OAL.jpg,41c0BzUWxyL.jpg,481,878,3
41QXvrRAR0L.jpg,414vK-PXiuL.jpg,449,749,3
51OmYz6fhtL.jpg,41tcYHChHoL.jpg,349,798,2
41gfk-cRR9L.jpg,414vK-PXiuL.jpg,399,749,2
41tciFNVN1L.jpg,414c0cB41rL.jpg,499,749,"2,3"
513hjRocTbL.jpg,51X6A29hWhL.jpg,453,804,3
41oWegGzI%2BL.jpg,414vK-PXiuL.jpg,359,749,3
418NsZsSWuL.jpg,41FQKH53N%2BL.jpg,368,758,3
41pQSp%2Bb4wL.jpg,41m0FgksT1L.jpg,327,995,3
419JexNkF3L.jpg,414vK-PXiuL.jpg,199,749,2
