,o_id,item1_img_path,item2_img_path,occasion,item1_category,item2_category
39,1840,Amazon/images/41XMaguUYJL.jpg,Amazon/images/41AN-y8OE2L.jpg,3,5,10
82,5428,Amazon/images/41R5MpcW4PL.jpg,Amazon/images/41n39srVFAL.jpg,3,5,10
212,3900,Amazon/images/51V5LW16WwL.jpg,Amazon/images/41NXceFkwCL.jpg,3,5,8
213,1645,Amazon/images/41-EGQRaJiL.jpg,Amazon/images/41yqbdgEIeL.jpg,3,5,10
215,5755,Amazon/images/41IzDWYIhzL.jpg,Amazon/images/41WS2UdCGXL.jpg,"2,3",5,8
235,2133,Amazon/images/419cnAlA%2BWL.jpg,Amazon/images/41E63AFImSL.jpg,3,5,8
249,2380,Amazon/images/41TRQVFmSzL.jpg,Amazon/images/41E63AFImSL.jpg,"6,3",5,8
253,2081,Amazon/images/416u%2BvdfVML.jpg,Amazon/images/41ULoeb0BRL.jpg,2,11,8
400,81,Amazon/images/41oMaoUIBXL.jpg,Amazon/images/41N1o69lE5L.jpg,3,5,1
485,5467,Amazon/images/41ykXdk2HmL.jpg,Amazon/images/4162-T9AazL.jpg,"2,3",5,8
500,2217,Amazon/images/41ii%2BD6XvFL.jpg,Amazon/images/4162-T9AazL.jpg,3,5,8
519,620,Amazon/images/41ZHi5pz92L.jpg,Amazon/images/41MedmiQ68L.jpg,2,11,10
546,286,Amazon/images/41TN8vsO%2BkL.jpg,Amazon/images/417B6s8tM5L.jpg,3,5,10
552,1900,Amazon/images/512lxVEKgXL.jpg,Amazon/images/31N0bKOOhAL.jpg,2,11,10
627,5950,Amazon/images/41Yw2vU7zCL.jpg,Amazon/images/61QVKClY3mL.jpg,3,5,8
629,3792,Amazon/images/41ZHi5pz92L.jpg,Amazon/images/41gi6YnWjyL.jpg,2,11,8
659,4360,Amazon/images/41HmesL9RKL.jpg,Amazon/images/41n39srVFAL.jpg,3,5,10
662,905,Amazon/images/41cYXgfnlsL.jpg,Amazon/images/41gi6YnWjyL.jpg,2,3,8
714,5775,Amazon/images/419jNH3TAtL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
