o_id,item1_img_path,item2_img_path,occasion,item1_category,item2_category
11044,Amazon/images/41EWkrOK-XL.jpg,Amazon/images/41mWOI0DW0L.jpg,3,5,10
5118,Amazon/images/41GoRhb9jJL.jpg,Amazon/images/41Xxi3bUPvL.jpg,2,11,10
3574,Amazon/images/51jblm7ikEL.jpg,Amazon/images/41m0FgksT1L.jpg,2,11,10
737,Amazon/images/41Ayhl919zL.jpg,Amazon/images/51X6A29hWhL.jpg,2,11,10
4894,Amazon/images/41OoxAnPsoL.jpg,Amazon/images/419gCnFEHvL.jpg,3,5,10
455,Amazon/images/41CJ2MOswaL.jpg,Amazon/images/417B6s8tM5L.jpg,2,11,10
4947,Amazon/images/51ImTCKzmfL.jpg,Amazon/images/41NXceFkwCL.jpg,2,11,8
4497,Amazon/images/41vvlF920zL.jpg,Amazon/images/411tFNX%2B51L.jpg,2,11,10
5629,Amazon/images/41uPM1in6DL.jpg,Amazon/images/41m0FgksT1L.jpg,3,5,10
1482,Amazon/images/41fFKb9wecL.jpg,Amazon/images/31JDkZYzJuL.jpg,"3,4",5,10
5221,Amazon/images/41wlYzgOm1L.jpg,Amazon/images/41Cr%2BAECjyL.jpg,3,5,10
4615,Amazon/images/41sCDcLwVlL.jpg,Amazon/images/41jK7-wnymL.jpg,2,4,10
2278,Amazon/images/51F-2Cc3%2BGL.jpg,Amazon/images/41Xxi3bUPvL.jpg,3,5,10
3756,Amazon/images/41rI0A5Si7L.jpg,Amazon/images/415uEMF9eZL.jpg,2,4,10
1607,Amazon/images/41k9fcG1qQL.jpg,Amazon/images/41Ww5lQOsrL.jpg,2,4,10
5885,Amazon/images/41tciFNVN1L.jpg,Amazon/images/414c0cB41rL.jpg,"2,3",5,10
2327,Amazon/images/41%2Bz5Rgn1XL.jpg,Amazon/images/41%2BQyeeT9LL.jpg,3,5,10
2293,Amazon/images/41Bb2DS7phL.jpg,Amazon/images/41Xxi3bUPvL.jpg,6,5,10
2444,Amazon/images/41csPaDG7iL.jpg,Amazon/images/41B9iX4wc6L.jpg,"2,4",11,10
2694,Amazon/images/41Y%2BZnsR6lL.jpg,Amazon/images/413YvtgV2FL.jpg,6,5,10
4319,Amazon/images/41NIMky08tL.jpg,Amazon/images/41V5aOwwlGL.jpg,3,5,10
761,Amazon/images/41lRFMl7qdL.jpg,Amazon/images/41FQKH53N%2BL.jpg,2,11,10
5330,Amazon/images/41L3GZgwRSL.jpg,Amazon/images/4162-T9AazL.jpg,2,11,8
2042,Amazon/images/41J4e5deAbL.jpg,Amazon/images/411tFNX%2B51L.jpg,3,5,10
1502,Amazon/images/414NbR-%2BjEL.jpg,Amazon/images/41PYIM32NHL.jpg,2,4,10
