Data Analysis
Note: Prices are in USD.
Total Items: 1628
Total Outfits: 5022
Topwears: 1419, Bottomwears: 209


Distribution of Data

TOPWEARS:

Price Range	No. Of Items	Perc. Of Items	Mean Price	Std. Dev. Price	Mean Vers	Std. Dev. Vers
100-199	4	0.28	182.75	17.09	1.00	0.00
200-299	44	3.10	270.70	25.16	1.16	0.56
300-399	100	7.05	366.04	28.89	1.33	0.68
400-499	236	16.63	473.21	28.16	1.57	0.74
500-599	121	8.53	572.33	28.30	1.28	0.56
600-699	99	6.98	674.13	27.17	1.40	0.65
700-799	104	7.33	774.11	27.61	1.44	0.65
800-899	65	4.58	876.57	28.44	1.48	0.61
900-999	83	5.85	976.05	30.34	1.51	0.70
1000-1099	48	3.38	1057.58	30.25	1.60	0.76
1100-1199	53	3.74	1167.18	33.29	1.38	0.59
1200-1299	48	3.38	1271.62	27.50	1.33	0.69
1300-1399	35	2.47	1376.49	25.31	1.43	0.60
1400-1499	46	3.24	1484.63	28.79	1.43	0.61
1500-1599	36	2.54	1576.56	33.58	1.42	0.55
1600-1699	33	2.33	1679.25	28.47	1.42	0.55
1700-1799	42	2.96	1790.62	20.20	1.31	0.46
1800-1899	28	1.97	1888.57	21.88	1.39	0.49
1900-1999	40	2.82	1994.83	13.69	1.62	0.62
2000-2099	42	2.96	2087.75	27.40	1.40	0.54
2100-2199	21	1.48	2183.76	25.63	1.62	0.58
2200-2299	25	1.76	2294.24	13.23	1.52	0.64
2300-2399	33	2.33	2391.94	22.68	1.36	0.54
2400-2499	33	2.33	2496.97	8.66	1.67	0.59

BOTTOMWEARS:

Price Range	No. Of Items	Perc. Of Items	Mean Price	Std. Dev. Price	Mean Vers	Std. Dev. Vers
500-599	25	11.96	554.76	29.57	2.12	0.99
600-699	18	8.61	667.84	22.76	2.28	1.19
700-799	29	13.88	755.83	32.58	3.14	1.04
800-899	27	12.92	857.78	34.38	3.30	0.90
900-999	29	13.88	964.22	33.44	2.86	0.90
1000-1099	17	8.13	1065.49	29.61	2.18	1.04
1100-1199	22	10.53	1175.36	29.78	2.14	0.81
1200-1299	9	4.31	1244.05	28.10	3.00	1.05
1300-1399	13	6.22	1368.54	23.27	2.00	1.11
1400-1499	18	8.61	1472.69	30.11	1.83	0.83
1700-1799	1	0.48	1799.00	0.00	2.00	0.00
2400-2499	1	0.48	2499.29	0.00	2.00	0.00


MAIN RESULT
Note: Execution time is in milliseconds and prices are in USD.

Budget	Alpha	Beta	ResultMain	ExecutionMain	NumTopMain	NumBottomMain	NumCompOutfitsMain	ResultRatio	ResultPseudo
1000.00	1.00	0.00	1.00	0.80	1	1	1	1.00	1.00
1500.00	1.00	0.00	3.00	2.03	3	1	3	3.00	3.00
2000.00	1.00	0.00	4.00	3.52	4	1	4	4.00	4.00
2500.00	1.00	0.00	6.00	4.79	6	1	6	5.00	6.00
3000.00	1.00	0.00	7.00	7.50	5	2	7	7.00	7.00
3500.00	1.00	0.00	9.00	7.52	7	2	9	9.00	8.00
4000.00	1.00	0.00	11.00	10.70	7	3	11	11.00	10.00
4500.00	1.00	0.00	13.00	9.61	8	3	13	13.00	11.00
5000.00	1.00	0.00	14.00	13.61	9	3	14	14.00	12.00
1000.00	0.75	0.25	2.50	0.61	1	1	1	2.50	2.50
1500.00	0.75	0.25	4.50	1.59	3	1	3	4.00	4.50
2000.00	0.75	0.25	6.50	3.29	4	1	4	6.50	5.50
2500.00	0.75	0.25	8.50	4.99	4	2	6	8.50	7.50
3000.00	0.75	0.25	10.00	6.02	5	2	7	10.00	8.50
3500.00	0.75	0.25	11.50	9.03	6	2	8	11.50	10.00
4000.00	0.75	0.25	13.00	8.36	7	2	9	13.00	13.00
4500.00	0.75	0.25	14.75	9.16	7	3	10	14.75	14.00
5000.00	0.75	0.25	16.75	10.53	8	3	11	16.75	15.00
1000.00	0.50	0.50	4.00	0.60	1	1	1	4.00	4.00
1500.00	0.50	0.50	6.00	1.73	2	1	2	6.00	5.50
2000.00	0.50	0.50	9.00	3.34	4	1	4	9.00	7.00
2500.00	0.50	0.50	11.00	4.92	4	2	4	11.00	9.00
3000.00	0.50	0.50	14.00	6.19	5	2	5	14.00	10.00
3500.00	0.50	0.50	16.00	7.57	6	2	6	16.00	12.00
4000.00	0.50	0.50	18.50	8.44	6	3	7	18.50	16.00
4500.00	0.50	0.50	21.00	11.44	7	3	9	21.00	17.00
5000.00	0.50	0.50	23.50	10.54	8	3	11	23.50	18.00
1000.00	0.25	0.75	5.50	0.78	1	1	1	5.50	5.50
1500.00	0.25	0.75	8.00	1.57	2	1	2	8.00	7.25
2000.00	0.25	0.75	11.50	3.17	4	1	4	11.50	9.75
2500.00	0.25	0.75	16.00	4.88	4	2	4	16.00	10.75
3000.00	0.25	0.75	18.50	6.32	5	2	5	18.50	12.75
3500.00	0.25	0.75	21.50	7.43	5	3	5	21.50	13.75
4000.00	0.25	0.75	24.25	11.41	7	3	7	24.25	17.25
4500.00	0.25	0.75	26.75	9.59	8	3	8	26.75	19.75
5000.00	0.25	0.75	30.50	12.93	8	4	8	30.50	21.50
1000.00	0.00	1.00	7.00	0.62	1	1	1	7.00	7.00
1500.00	0.00	1.00	10.00	1.60	2	1	2	10.00	8.00
2000.00	0.00	1.00	14.00	4.86	4	1	4	14.00	8.00
2500.00	0.00	1.00	20.00	4.67	4	2	4	20.00	10.00
3000.00	0.00	1.00	23.00	6.18	5	2	5	23.00	11.00
3500.00	0.00	1.00	27.00	9.72	5	3	5	27.00	16.00
4000.00	0.00	1.00	30.00	8.47	6	3	6	30.00	18.00
4500.00	0.00	1.00	34.00	12.10	6	4	6	34.00	20.00
5000.00	0.00	1.00	38.00	10.35	8	4	8	38.00	16.00
